Name,Year,Listening,Speaking,Reading,Writing
Student 1,2019,5,10,8,17
Student 1,2020,12,8,6,13
Student 1,2021,6,13,8,9
Student 1,2022,11,11,7,13
Student 1,2023,6,8,6,8
Student 2,2019,10,9,4,13
Student 2,2020,8,9,4,14
Student 2,2021,10,9,5,8
Student 2,2022,5,9,11,12
Student 2,2023,9,4,7,10
Student 3,2019,11,4,12,13
Student 3,2020,4,6,10,14
Student 3,2021,12,10,4,12
Student 3,2022,8,8,7,7
Student 3,2023,10,11,7,16
Student 4,2019,15,8,11,12
Student 4,2020,10,14,12,14
Student 4,2021,8,9,9,8
Student 4,2022,4,10,10,8
Student 4,2023,9,4,8,6
Student 5,2019,4,5,13,7
Student 5,2020,8,12,7,5
Student 5,2021,8,9,9,8
Student 5,2022,8,7,9,11
Student 5,2023,11,9,13,7
Student 6,2019,15,6,18,3
Student 6,2020,9,11,8,9
Student 6,2021,10,6,7,15
Student 6,2022,7,10,10,11
Student 6,2023,10,11,11,5
Student 7,2019,6,10,4,6
Student 7,2020,13,12,8,9
Student 7,2021,8,13,7,14
Student 7,2022,5,13,8,8
Student 7,2023,11,8,14,14
Student 8,2019,13,10,10,11
Student 8,2020,10,11,11,9
Student 8,2021,10,9,8,10
Student 8,2022,8,10,10,11
Student 8,2023,8,8,6,7
Student 9,2019,8,9,10,13
Student 9,2020,11,8,11,15
Student 9,2021,8,12,6,8
Student 9,2022,13,10,13,7
Student 9,2023,10,10,11,11
Student 10,2019,5,11,3,10
Student 10,2020,7,15,7,5
Student 10,2021,16,9,5,9
Student 10,2022,12,10,10,10
Student 10,2023,8,6,1,9
